지역명,매장명,주소,전화번호,영업시간,서비스,위도,경도
서울,고려대,서울 성북구 고려대로 24길 20,02-926-1269,07:30 - 22:30,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5853665,127.0292712
서울,공덕역롯데캐슬,서울특별시 마포구 마포대로 109 롯데캐슬프레지던트,02-713-7775,07:00 - 22:00,"주차가능, 아침메뉴, 단체주문, 시그니처랩",37.5450054,126.9512549
서울,공릉,서울특별시 노원구 공릉로 207,02-977-0045,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.6279150,127.0776681
서울,광운대역,서울특별시 노원구 광운로 57,02-942-7779,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.6226426,127.0595552
서울,광장,서울특별시 광진구 아차산로 480,02-455-2224,08:00 - 21:30,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5404545,127.0952435
서울,광화문,서울특별시 종로구 새문안로 3길 19,02-723-7222,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5720212,126.9724621
서울,교대,서울특별시 서초구 서초중앙로22길 47 문화빌딩 1층,02-581-0696,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.4936127,127.0166920
서울,구로NC,서울특별시 구로구 구로중앙로 152,02-6923-2155,07:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5011324,126.8828000
서울,구로디지털,서울특별시 구로구 디지털로34길 55 코오롱싸이언스밸리 2차 109호,02-2088-7279,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문",37.4841595,126.8994585
서울,구산역,서울특별시 은평구 서오릉로 150,02-355-4650,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.6119557,126.9165857
서울,구의,서울특별시 광진구 자양로 113 구의현대하이엘 1층,02-446-6444,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5378939,127.0829911
서울,구파발역,서울특별시 은평구 진관2로 29-21  드림스퀘어,02-3157-3167,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문",37.6357288,126.9193479
서울,국민대학교,서울특별시 성북구 정릉로 77 북악관,02-910-6895,11:00 - 18:00,"APP-패스트썹, APP-홈썹, 주차가능, 아침메뉴, 단체주문, 시그니처랩",37.6108107,126.9969024
서울,군자역,서울특별시 광진구 능동로 290 삼일빌딩,02-456-6444,07:30 - 22:30,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5555794,127.0789874
서울,길동역,"서울 강동구 양재대로 1471 길동 1층 103,110호",02-470-6032,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",2200,37.5373655
서울,길음뉴타운,서울특별시 성북구 길음로 7길 6,02-918-7432,07:30 - 21:30,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.6043358,127.0223968
서울,낙성대역,서울특별시 관악구 남부순환로 1904,02-877-6687,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.4778877,126.9607000
서울,남영역,서울특별시 용산구 한강대로 271,02-706-5007,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 아침메뉴, 단체주문, 시그니처랩",37.5424270,126.9723684
서울,노량진역,서울 동작구 노량진로 152-1,-,00:00 - 24:00,"24시간, APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5134407,126.9428869
서울,노원,서울특별시 노원구 노해로 502 노원빌딩 1층,02-936-0501,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문",37.6545660,127.0636241
서울,논현역,서울특별시 서초구 강남대로 535 프린스빌딩,02-512-1014,00:00 - 24:00,"24시간, APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 그릴드랩",37.5096147,127.0216066
서울,당산역,서울특별시 영등포구 양평로 58,02-2636-1014,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 그릴드랩",37.5350840,126.9007167
서울,대림삼거리,서울특별시 영등포구 시흥대로 681 삼성YJ그랜드빌딩 신관동 1층,02-847-8255,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.4922856,126.9087115
서울,대청,서울특별시 강남구 일원로3길 4,02-459-7975,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 시그니처랩",37.4910604,127.0811918
서울,대치,서울시 강남구 도곡로 447,02-562-8882,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.4987016,127.0593378
서울,대학로,서울특별시 종로구 동숭길 101 현대엘리베이터,02-764-5656,08:30 - 22:30,"APP-패스트썹, 아침메뉴, 시그니처랩",37.5824625,127.0040379
서울,덕성여대,서울특별시 도봉구 삼양로 538,02-6369-1990,08:00 - 22:00,"아침메뉴, 단체주문, 시그니처랩",37.6510753,127.0131990
서울,독립문,서울특별시 종로구 송월길 155 경희궁자이4단지 상가 1층 4104-4106호,02-730-8255,07:00 - 21:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5716749,126.9612654
서울,독산,서울특별시 금천구 시흥대로 399 112호,02-803-2346,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.4693592,126.8970019
서울,동대문역,서울특별시 종로구 종로 263-1,02-747-9809,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5713859,127.0072251
서울,동대문역사문화공원,서울특별시 중구 장충단로 227-2,02-2269-2100,07:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5650885,127.0071995
서울,동덕여대,서울특별시 성북구 화랑로13길 10,02-6404-2212,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.6038977,127.0427576
서울,동양미래대,서울특별시 구로구 경인로 445 동양미래대 8호관,02-2686-6890,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5009475,126.8675318
서울,등촌역,서울특별시 양천구 공항대로 552 101호,02-6053-2543,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5495586,126.8669562
서울,뚝섬유원지역,"서울특별시 광진구 뚝섬로34길 67  광진트라팰리스 101호, 102호",02-467-4556,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",2200,37.5318554
서울,마곡나루역,서울특별시 강서구 마곡서로 152,02-6989-9840,07:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5676701,126.8259797
서울,마포,서울특별시 마포구 마포대로 53  마포트라팰리스,02-715-0080,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5415418,126.9473839
서울,마포구청,서울특별시 마포구 월드컵로 34길 7,02-307-6196,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5650610,126.9030549
서울,망우,서울특별시 중랑구 용마산로115길 127 한일써너스빌리젠시1단지,02-432-9888,07:30 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5973916,127.0934422
서울,망원역,서울특별시 마포구 월드컵로 87  마포로얄프라자,02-338-9933,08:30 - 22:30,"아침메뉴, 단체주문, 시그니처랩",37.5564763,126.9092474
서울,망원한강공원,서울 마포구 마포나루길 407,02-332-6612,08:00 - 23:00,"배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5557956,126.8939668
서울,명동성당,서울특별시 중구 명동길 74 명동성당 B118호,02-318-6202,07:30 - 21:30,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5633352,126.9872743
서울,명일역,서울특별시 강동구 양재대로 1625,02-477-5141,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5505838,127.1435166
서울,명지대,서울특별시 서대문구 거북골로 23,02-374-7300,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 아침메뉴, Drive Thru, 단체주문, 시그니처랩",37.5800142,126.9248636
서울,목동사거리,서울특별시 강서구 등촌로 23,070-8877-2543,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5319903,126.8634668
서울,목동역,서울특별시 양천구 오목로 238 론드사옥 1층,02-2603-5368,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5258954,126.8639583
서울,묵동,서울특별시 중랑구 동일로 952 로프트원 태릉입구역,02-978-3434,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 그릴드랩",37.6153331,127.0768804
서울,문래,서울특별시 영등포구 선유로 70,02-2637-3002,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5201718,126.8901620
서울,문정법조,서울특별시 송파구 충민로 5 송파한화오벨리스크,02-403-7344,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.4801332,127.1196663
서울,문정역,서울특별시 송파구 법원로 114 현대엠스테이트 C동 119호,02-3012-1259,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.4857987,127.1206993
서울,미아사거리역,서울특별시 강북구 도봉로 41-1,02-988-1641,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.6127257,127.0296877
서울,미아역,서울특별시 강북구 도봉로 209,02-946-1596,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.6272631,127.0254991
서울,발산역,서울특별시 강서구 마곡중앙6로 93,02-3663-6837,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5601357,126.8376979
서울,방배,서울특별시 서초구 효령로 111 1층,02-896-6000,08:00 - 22:00,"주차가능, 아침메뉴, 단체주문, 시그니처랩",37.4812705,126.9962021
서울,방이역,서울 송파구 마천로 39,-,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문",37.5091405,127.1252710
서울,방학역,서울특별시 도봉구 도봉로 684,02-956-1237,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 그릴드랩",37.6653467,127.0435897
서울,보라매,서울특별시 동작구 보라매로3길 29 해태보라매타워,02-832-2522,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.4914050,126.9251860
서울,봉은사역,서울특별시 강남구 봉은사로 627,02-545-5729,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 아침메뉴, 단체주문, 그릴드랩",37.5152309,127.0640327
서울,북촌,서울 종로구 계동길 5,02-747-4400,07:00 - 21:00,"APP-패스트썹, 아침메뉴, 단체주문, 시그니처랩",37.5773978,126.9863780
서울,사당역,서울시 서초구 동작대로 24,02-6941-0386,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.4786719,126.9821640
서울,삼성,서울특별시 강남구 삼성로 520,02-2051-2008,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5086989,127.0559332
서울,삼성중앙역,서울특별시 강남구 봉은사로 480,02-555-0696,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5126954,127.0530176
서울,삼양솔샘,서울특별시 강북구 삼양로 162,02-6952-3399,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.6184146,127.0216303
서울,삼전역,서울시 송파구 백제고분로 197 1층 101호,02-425-5141,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5043859,127.0887840
서울,상봉역,서울특별시 중랑구 망우로 316,02-432-2938,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 시그니처랩",37.5965182,127.0875551
서울,상수역,서울특별시 마포구 와우산로 44,02-323-6934,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5483288,126.9231988
서울,상암,서울특별시 마포구 월드컵북로 361 DMC 이안상암2단지,02-533-9464,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문",37.5771101,126.8913997
서울,상암DMC푸르지오시티,서울특별시 마포구 월드컵북로54길 25 상암DMC 푸르지오시티 103호,02-303-4566,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5820926,126.8889847
서울,상왕십리,서울특별시 성동구 왕십리로 410 센트라스,02-2296-9898,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5665508,127.0247865
서울,상일동,서울특별시 강동구 상일로6길 21,070-8800-0217,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5498262,127.1743386
서울,서강대,서울특별시 마포구 백범로 21,02-711-7007,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5528522,126.9375391
서울,서울고속터미널,서울특별시 서초구 신반포로 194  본관지하10호,02-595-8900,07:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5056800,127.0058468
서울,서울대,서울특별시 관악구 관악로 156,02-887-6887,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.4791330,126.9527047
서울,서울숲,서울특별시 성동구 왕십리로 108-1,02-499-2900,07:00 - 22:00,"APP-패스트썹, 아침메뉴, 단체주문, 시그니처랩",37.5473495,127.0447822
서울,서울시립대학교,서울특별시 동대문구 서울시립대로 163,02-6490-5866,10:00 - 19:00,"아침메뉴, 단체주문, 그릴드랩",37.5836390,127.0588564
서울,서울역동자,서울특별시 용산구 후암로 107 게이트웨이타워,02-777-8552,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문",37.5534983,126.9735761
서울,서초법원,서울특별시 서초구 법원로1길 1,02-595-1718,07:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.4931939,127.0103114
서울,석촌역,"서울특별시 송파구 송파대로 438 106호, 107호",02-420-4320,08:00 - 22:00,"APP-패스트썹, 주차가능, 아침메뉴, 단체주문, 시그니처랩",2200,37.5059196
서울,석촌호수,서울특별시 송파구 석촌호수로 298,02-424-0020,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5116204,127.1081738
서울,선릉,서울특별시 강남구 테헤란로 337,02-557-5004,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5047776,127.0484885
서울,선유도역,서울특별시 영등포구 양평로 121,02-2632-1232,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 아침메뉴, 단체주문, 시그니처랩",37.5375943,126.8941369
서울,선정릉역,서울특별시 강남구 봉은사로 328,02-555-9389,07:30 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5097350,127.0429270
서울,성균관대,서울 종로구 성균관로 25-2 600주년기념관 지하 1층,02-3673-0102,10:30 - 18:30,"APP-패스트썹, 아침메뉴, 단체주문, 시그니처랩",37.5879535,126.9921594
서울,성대,서울특별시 종로구 창경궁로 234 동화빌딩,02-741-0677,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문",37.5824974,126.9985547
서울,성수역,서울특별시 성동구 아차산로 113,02-497-2800,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5446877,127.0569122
서울,세종대,서울특별시 광진구 광나루로 390,02-465-3285,07:30 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문",37.5473917,127.0729784
서울,송파역,서울특별시 송파구 송파대로 374,02-420-2160,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 아침메뉴, 단체주문, 시그니처랩",37.5013397,127.1112319
서울,수락산역,서울특별시 노원구 동일로 1669,02-2135-2535,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.6774491,127.0549313
서울,수서역,서울특별시 강남구 밤고개로 1길 10 B1,02-445-1636,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 그릴드랩",37.4880245,127.1018445
서울,수유역,서울특별시 강북구 오패산로 417,02-998-1641,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.6376263,127.0258528
서울,숙명여대,서울특별시 용산구 청파로47길 42,02-702-2454,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5448354,126.9681547
서울,순화동라마다,서울특별시 중구 칠패로 27 순화동 the# 주상복합,02-776-4518,07:00 - 21:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5599339,126.9719947
서울,숭실대,서울시 동작구 사당로 10  지층 101호,02-812-3552,08:00 - 22:00,"24시간, APP-홈썹, 아침메뉴, 단체주문, 시그니처랩",37.4953307,126.9554589
서울,시청,서울특별시 중구 세종대로 68 천일빌딩,02-777-9200,07:30 - 21:30,"APP-패스트썹, 아침메뉴, 단체주문",37.5622675,126.9767006
서울,시흥,서울 금천구 시흥대로 224 금천리메인시티 1층,02-805-2346,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.4539296,126.9013002
서울,신금호역,서울 성동구 금호로 173,02-2235-6392,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 시그니처랩",37.5553875,127.0185970
서울,신논현,서울특별시 서초구 강남대로 499,02-544-1014,00:00 - 24:00,"24시간, APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5065217,127.0230669
서울,신당역,서울특별시 중구 퇴계로 388,02-2231-7088,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5649954,127.0146558
서울,신대방삼거리,서울 동작구 상도로 105,02-6085-0029,08:00 - 22:30,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5007443,126.9320111
서울,신도림,서울시 구로구 경인로 661 1층 101호,02-2068-0269,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5100374,126.8883336
서울,신림,서울 관악구 신림로 318,02-888-8884,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.4825924,126.9302485
서울,신림역,서울특별시 관악구 신림로 344 SK허브그린,02-888-4455,08:00 - 22:00,"주차가능, 아침메뉴, 단체주문, 시그니처랩",37.4851585,126.9299942
서울,신사,서울특별시 강남구 도산대로 124 대영빌딩,02-546-2007,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5169298,127.0223189
서울,신설동역,서울특별시 동대문구 왕산로 15-1,02-928-0258,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 그릴드랩",37.5765396,127.0252796
서울,신정네거리역,서울특별시 양천구 중앙로 265,02-2607-9979,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5199292,126.8527090
서울,신촌,서울특별시 서대문구 신촌로 121 아남오피스텔,02-3147-1248,08:00 - 22:30,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5562107,126.9393157
서울,신촌로데오,서울특별시 서대문구 연세로 23,02-322-9431,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5577640,126.9367086
서울,쌍문역,"서울특별시 도봉구 도봉로 468 1층 102호, 102-1호",02-999-5906,07:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",2200,37.6473897
서울,아차산역,서울특별시 광진구 천호대로 666,02-455-5440,07:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5513776,127.0893773
서울,안국,서울특별시 종로구 우정국로 69 동일빌딩(조계사 인근),02-735-9000,07:00 - 21:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문",37.5752033,126.9824683
서울,압구정역,서울특별시 강남구 압구정로 28길 13,02-548-1014,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5256731,127.0278588
서울,애오개역,서울특별시 마포구 마포대로 180,02-702-7672,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 그릴드랩",37.5501804,126.9555512
서울,약수역,서울특별시 중구 다산로 153,02-2256-9891,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5574190,127.0118469
서울,양재역,서울시 서초구 남부순환로 2606 1층,02-579-5227,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 그릴드랩",37.4844758,127.0357116
서울,양재하이브랜드,서울 서초구 매헌로 16 하이브랜드,02-2155-2090,08:00 - 23:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.4631951,127.0366233
서울,양천구청,서울특별시 양천구 목동서로 349 센트럴프라자,02-2652-2521,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 아침메뉴, 단체주문",37.5174204,126.8653309
서울,양천향교역,"서울특별시 강서구 강서로 471 엠코지니어스타 A동 1층 109, 110호",02-3662-6697,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",2200,37.5674482
서울,언주역,서울특별시 강남구 봉은사로 206 대명빌딩,02-557-8805,00:00 - 24:00,"24시간, APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문",37.5072452,127.0346753
서울,여의도KBS 본관,서울특별시 영등포구 국회대로62길 25 교육시설재난공제회관,02-782-1518,08:00 - 22:00,"APP-패스트썹, APP-홈썹, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5263317,126.9177416
서울,여의도국회의사당,서울특별시 영등포구 국회대로 70길 19,02-761-1003,07:30 - 21:30,"APP-패스트썹, APP-홈썹, 주차가능, 배달가능, 아침메뉴, 단체주문, 시그니처랩",37.5292170,126.9208545
